,ID_NOTICE_CN,TED_NOTICE_URL,CAE_NAME,CAE_TOWN,CAE_POSTAL_CODE,CAE_TYPE,MAIN_ACTIVITY,TYPE_OF_CONTRACT,CPV,VALUE_EURO_FIN_1,DURATION,TAL_LOCATION_NUTS
15326,201817117,ted.europa.eu/udl?uri=TED:NOTICE:17117-2018:TEXT:EN:HTML,Gobierno Vasco. Departamento de Seguridad,Erandio,48950,3,Public Order and Safety,S,85100000.0,1150000.0,24.0,ES21
15328,201817119,ted.europa.eu/udl?uri=TED:NOTICE:17119-2018:TEXT:EN:HTML,Ayuntamiento de Las Palmas de Gran Canaria,Las Palmas,35005,3,General public\services,S,50232100.0,3803121.42,48.0,ES705
15329,201817120,ted.europa.eu/udl?uri=TED:NOTICE:17120-2018:TEXT:EN:HTML,Ayuntamiento de Alcobendas,Alcobendas,28100,3,General public\services,S,50413200.0,,,
15330,201817121,ted.europa.eu/udl?uri=TED:NOTICE:17121-2018:TEXT:EN:HTML,Ayuntamiento de Las Palmas de Gran Canaria,Las Palmas,35005,3,General public\services,S,72514000.0,605841.12,48.0,ES705
15341,201817238,ted.europa.eu/udl?uri=TED:NOTICE:17238-2018:TEXT:EN:HTML,"Empresa Municipal de Transportes de Madrid, S.A.",Madrid,28007,4,"Urban railway, tramway, trolleybus or bus services",U,34352200.0,2576150.0,24.0,ES
15343,201817249,ted.europa.eu/udl?uri=TED:NOTICE:17249-2018:TEXT:EN:HTML,Autoridad Portuaria de Sevilla,Sevilla,41012,4,Port-related activities,S,45100000.0,,600.0,
15345,201817250,ted.europa.eu/udl?uri=TED:NOTICE:17250-2018:TEXT:EN:HTML,"Metro de Madrid, Sociedad Anónima",Madrid,28007,4,"Urban railway, tramway, trolleybus or bus services",S,79341400.0,1950000.0,12.0,ES300
15346,201817251,ted.europa.eu/udl?uri=TED:NOTICE:17251-2018:TEXT:EN:HTML,"Canal de Isabel II, S.A.",Madrid,28003,4,Water,S,66131000.0,,16.0,ES3
15349,201817254,ted.europa.eu/udl?uri=TED:NOTICE:17254-2018:TEXT:EN:HTML,"Metro de Madrid, Sociedad Anónima",Madrid,28007,4,"Urban railway, tramway, trolleybus or bus services",S,90917000.0,2475000.0,48.0,ES300
15448,201817407,ted.europa.eu/udl?uri=TED:NOTICE:17407-2018:TEXT:EN:HTML,"Servicio Andaluz de Salud, Hospital Universitario Reina Sofía",Córdoba,14004,3,Health,W,45000000.0,9395666.69,,ES613
15514,201817437,ted.europa.eu/udl?uri=TED:NOTICE:17437-2018:TEXT:EN:HTML,Ayuntamiento de Madrid - Área de Gobierno de Desarrollo Urbano Sostenible,Madrid,28042,3,General public\services,W,45000000.0,79631706.0,,ES300
15945,201817687,ted.europa.eu/udl?uri=TED:NOTICE:17687-2018:TEXT:EN:HTML,"Servicio Andaluz de Salud, Hospital Universitario Regional de Málaga",Málaga,29010,3,Health,U,24455000.0,1436579.8,,ES617
15963,201817696,ted.europa.eu/udl?uri=TED:NOTICE:17696-2018:TEXT:EN:HTML,"Servicio Andaluz de Salud, Hospital Universitario Regional de Málaga",Málaga,29010,3,Health,U,33141000.0,2204777.61,,ES617
16375,201817702,ted.europa.eu/udl?uri=TED:NOTICE:17702-2018:TEXT:EN:HTML,Servicio Murciano de Salud,Espinardo (Murcia),30100,6,Health,U,33692000.0,682900.0,,ES620
16416,201817713,ted.europa.eu/udl?uri=TED:NOTICE:17713-2018:TEXT:EN:HTML,Alcaldía del Ayuntamiento de Mondariz,Mondariz,36870,3,General public\services,U,9310000.0,398946.16,,ES114
16433,201817717,ted.europa.eu/udl?uri=TED:NOTICE:17717-2018:TEXT:EN:HTML,Servicio Andaluz de Salud. Complejo Hospitalario Torrecárdenas,Almería,04009,3,Health,U,39130000.0,447158.68,,ES611
17045,201817787,ted.europa.eu/udl?uri=TED:NOTICE:17787-2018:TEXT:EN:HTML,Jefatura de Asuntos Económicos de la Guardia Civil,Madrid,28003,1,Public Order and Safety,U,31642000.0,836363.64,,ES300
17292,201817836,ted.europa.eu/udl?uri=TED:NOTICE:17836-2018:TEXT:EN:HTML,"Administrador Único de Televisión Autonómica de Castilla-La Mancha, S.A.",Toledo,45007,8,Economical anf Financial Affairs,U,32321200.0,800000.0,,ES425
17328,201817844,ted.europa.eu/udl?uri=TED:NOTICE:17844-2018:TEXT:EN:HTML,"Urola Erdiko Lapatx Zabortegia, S.A.",Azpeitia,20730,3,Other,U,44171000.0,360828.18,,ES
17422,201818338,ted.europa.eu/udl?uri=TED:NOTICE:18338-2018:TEXT:EN:HTML,Departamento de Salud La Fe. Dirección Económica-Gerencia,Valencia,46026,3,Health,S,72610000.0,252000.0,,ES523
17424,201818340,ted.europa.eu/udl?uri=TED:NOTICE:18340-2018:TEXT:EN:HTML,Servicio Andaluz de Salud. Área Hospitalaria Virgen del Rocío,Sevilla,41013,3,Health,S,72514200.0,1447933.96,,ES618
17429,201818345,ted.europa.eu/udl?uri=TED:NOTICE:18345-2018:TEXT:EN:HTML,Excmo. Ayuntamiento de Yecla,Yecla,30510,3,General public\services,S,85311100.0,1644572.16,,ES620
17467,201818363,ted.europa.eu/udl?uri=TED:NOTICE:18363-2018:TEXT:EN:HTML,Jefatura de Asuntos Económicos de la Guardia Civil,Madrid,28003,1,Public Order and Safety,S,50241000.0,11794000.0,,ES300
17515,201818390,ted.europa.eu/udl?uri=TED:NOTICE:18390-2018:TEXT:EN:HTML,"Servicio Andaluz de Salud, Complejo Hospitalario Torrecárdenas",Almería,04009,3,Health,S,98310000.0,8803064.16,,ES611
17565,201818422,ted.europa.eu/udl?uri=TED:NOTICE:18422-2018:TEXT:EN:HTML,Servicio Andaluz de Salud. Complejo Hospitalario Torrecárdenas,Almería,04009,3,Health,S,71200000.0,502536.0,,ES611
17622,201818442,ted.europa.eu/udl?uri=TED:NOTICE:18442-2018:TEXT:EN:HTML,Agencia Sanitaria Bajo Guadalquivir,Utrera,41710,R,Health,S,85000000.0,4931625.74,,ES618
17769,201818518,ted.europa.eu/udl?uri=TED:NOTICE:18518-2018:TEXT:EN:HTML,Consejo de Dirección del Instituto Municipal de Deportes del Ayuntamiento de Barakaldo,Barakaldo,48901,3,"Recreation, culture and religion",S,50532200.0,3780991.74,,ES213
17770,201818519,ted.europa.eu/udl?uri=TED:NOTICE:18519-2018:TEXT:EN:HTML,Consejo de Dirección del Instituto Municipal de Deportes del Ayuntamiento de Barakaldo,Barakaldo,48901,3,"Recreation, culture and religion",S,90911200.0,9307461.36,,ES213
17771,201818520,ted.europa.eu/udl?uri=TED:NOTICE:18520-2018:TEXT:EN:HTML,Consorci de Biblioteques de Barcelona,Barcelona,08002,R,"Recreation, culture and religion",S,64121200.0,386584.0,,ES511
17772,201818521,ted.europa.eu/udl?uri=TED:NOTICE:18521-2018:TEXT:EN:HTML,Instituto Municipal de Parques y Jardines de Barcelona,Barcelona,08018,3,Environment,S,77311000.0,1455087.33,,ES511
18011,201818614,ted.europa.eu/udl?uri=TED:NOTICE:18614-2018:TEXT:EN:HTML,Dirección General – Osakidetza-Servicio Vasco de Salud,Vitoria-Gasteiz,01006,8,Health,S,50421000.0,46875000.0,,ES211
18033,201818618,ted.europa.eu/udl?uri=TED:NOTICE:18618-2018:TEXT:EN:HTML,Informática del Ayuntamiento de Madrid,Madrid,28037,R,Other,S,72267000.0,894165.7,,ES300
18064,201819162,ted.europa.eu/udl?uri=TED:NOTICE:19162-2018:TEXT:EN:HTML,Gerencia de Atención Sanitaria de Melilla — Instituto Nacional de Gestión Sanitaria,Melilla,52005,1,Health,S,55100000.0,1807242.46,,ES640
18247,201819492,ted.europa.eu/udl?uri=TED:NOTICE:19492-2018:TEXT:EN:HTML,Ayuntamiento de Granada,Granada,18001,3,General public\services,U,9123000.0,970909.1,48.0,ES614
18254,201819498,ted.europa.eu/udl?uri=TED:NOTICE:19498-2018:TEXT:EN:HTML,"Ayuntamiento de Sitges, Dep.Contratación",Sitges,08870,3,General public\services,U,72130000.0,396694.21,7.0,ES511
18268,201819512,ted.europa.eu/udl?uri=TED:NOTICE:19512-2018:TEXT:EN:HTML,Mutua Montañesa (Mutua colaboradora con la Seguridad Social nº 7),Santander,39004,8,Other,U,33140000.0,,,
18284,201819651,ted.europa.eu/udl?uri=TED:NOTICE:19651-2018:TEXT:EN:HTML,Instituto Municipal del Deporte del Ayuntamiento de Palma de Mallorca (IME),Palma de Mallorca,07011,6,Other,S,50000000.0,,,
18290,201819657,ted.europa.eu/udl?uri=TED:NOTICE:19657-2018:TEXT:EN:HTML,Ayuntamiento de Granada,Granada,18001,3,General public\services,S,80500000.0,306716.4,72.0,ES614
18291,201819658,ted.europa.eu/udl?uri=TED:NOTICE:19658-2018:TEXT:EN:HTML,Mancomunidad Trasierra-Tierras de Granadilla,Cáceres (Guijo de Granadilla),10712,3,General public\services,S,90511100.0,1719547.95,,
18292,201819659,ted.europa.eu/udl?uri=TED:NOTICE:19659-2018:TEXT:EN:HTML,Ayuntamiento de Collado Villalba (Madrid),Collado Villalba,28400,3,General public\services,S,64200000.0,674400.0,24.0,ES30
18293,201819660,ted.europa.eu/udl?uri=TED:NOTICE:19660-2018:TEXT:EN:HTML,Administración del Principado de Asturias - Consejería de Hacienda y Sector Público,Oviedo,33005,3,General public\services,S,64100000.0,25910093.09,24.0,ES120
18294,201819661,ted.europa.eu/udl?uri=TED:NOTICE:19661-2018:TEXT:EN:HTML,Ayuntamiento de A Fonsagrada,Oviedo,27100,3,General public\services,S,85310000.0,6450197.18,72.0,
18303,201819670,ted.europa.eu/udl?uri=TED:NOTICE:19670-2018:TEXT:EN:HTML,Fundación Canaria de Juventud Ideo,Las Palmas de Gran Canaria,35002,6,Other,S,90911200.0,413760.0,24.0,ES70
18318,201819778,ted.europa.eu/udl?uri=TED:NOTICE:19778-2018:TEXT:EN:HTML,"Canal de Isabel II, S. A.",Madrid,28003,4,Water,U,9123000.0,,12.0,ES3
18323,201819806,ted.europa.eu/udl?uri=TED:NOTICE:19806-2018:TEXT:EN:HTML,"Canal de Isabel II, S. A.",Madrid,28003,4,Water,S,90513800.0,,36.0,ES3
18325,201819814,ted.europa.eu/udl?uri=TED:NOTICE:19814-2018:TEXT:EN:HTML,Metro Bilbao S.A.,Bilbao,E48001,4,"Urban railway, tramway, trolleybus or bus services",S,60210000.0,,,
18518,201820035,ted.europa.eu/udl?uri=TED:NOTICE:20035-2018:TEXT:EN:HTML,Consellería de Infraestructuras y Vivienda - Secretaría General Técnica,Santiago de Compostela,15781,3,General public\services,W,45213310.0,8762725.65,,ES11
18686,201820256,ted.europa.eu/udl?uri=TED:NOTICE:20256-2018:TEXT:EN:HTML,Servicio Murciano de Salud,Murcia,30100,6,Health,U,33184100.0,12896400.0,,ES620
18792,201820282,ted.europa.eu/udl?uri=TED:NOTICE:20282-2018:TEXT:EN:HTML,Excma. Diputación Provincial de Huelva,Huelva,21003,3,General public\services,U,34100000.0,,,ES615
18808,201820290,ted.europa.eu/udl?uri=TED:NOTICE:20290-2018:TEXT:EN:HTML,Dirección de Compras de la Corporación de Radio y Televisión Española S.A.,Pozuelo de Alarcón,28223,8,Economical anf Financial Affairs,U,32500000.0,1097000.0,,ES300
18924,201820307,ted.europa.eu/udl?uri=TED:NOTICE:20307-2018:TEXT:EN:HTML,Servicio de Salud de las Illes Balears,Palma,07003,3,Health,U,30213000.0,1804691.39,,ES53
19153,201820326,ted.europa.eu/udl?uri=TED:NOTICE:20326-2018:TEXT:EN:HTML,"Consejería de Economía, Hacienda, Administración Pública y Empleo de la Ciudad Autónoma de Ceuta",Ceuta,51001,3,Economical anf Financial Affairs,U,34928500.0,898228.0,,ES63
19201,201820335,ted.europa.eu/udl?uri=TED:NOTICE:20335-2018:TEXT:EN:HTML,Dirección General Osakidetza,Vitoria-Gasteiz,01006,8,Health,U,48218000.0,317733.0,,ES211
19456,201820786,ted.europa.eu/udl?uri=TED:NOTICE:20786-2018:TEXT:EN:HTML,Axencia para a Modernización Tecnolóxica de Galicia - Xunta de Galicia,Santiago de Compostela,15781,3,General public\services,S,72222000.0,405000.0,,ES11
19457,201820787,ted.europa.eu/udl?uri=TED:NOTICE:20787-2018:TEXT:EN:HTML,Ayuntamiento de Molins de Rei,Molins de Rei,,3,General public\services,S,90410000.0,318310.0,,ES511
19484,201820808,ted.europa.eu/udl?uri=TED:NOTICE:20808-2018:TEXT:EN:HTML,"Consejo de Administración de Medio Ambiente, Agua, Residuos y Energía de Cantabria, S. A. (MARE, S. A.)",Cartes,39311,8,Environment,S,90410000.0,558988.57,,ES130
19512,201820831,ted.europa.eu/udl?uri=TED:NOTICE:20831-2018:TEXT:EN:HTML,Instituto Nacional de Estadística (INE),Madrid,28046,1,Economical anf Financial Affairs,S,79800000.0,563800.0,,ES300
19529,201820845,ted.europa.eu/udl?uri=TED:NOTICE:20845-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Utrera,Utrera,41710,3,General public\services,S,71326000.0,913059.64,,ES618
19649,201820861,ted.europa.eu/udl?uri=TED:NOTICE:20861-2018:TEXT:EN:HTML,Dirección de Compras de la Corporación de Radio y Televisión Española S.A.,Pozuelo de Alarcón,28223,8,Economical anf Financial Affairs,S,31000000.0,328000.0,,ES300
19652,201820864,ted.europa.eu/udl?uri=TED:NOTICE:20864-2018:TEXT:EN:HTML,Fundación Colección Thyssen Bornemisza,Madrid,28014,8,Education,S,60000000.0,732850.0,,ES300
19672,201820881,ted.europa.eu/udl?uri=TED:NOTICE:20881-2018:TEXT:EN:HTML,"Dirección General de la Mutual Midat Cyclops, Mutua Colaboradora con la Seguridad Social n.º 1",Barcelona,08029,8,Health,S,50700000.0,1390000.0,,ES511
19696,201820904,ted.europa.eu/udl?uri=TED:NOTICE:20904-2018:TEXT:EN:HTML,"Cámara Oficial de Comercio, Industria, Servicios y Navegación de España",Madrid,28042,6,Other,S,79340000.0,400000.0,,ES
19697,201820905,ted.europa.eu/udl?uri=TED:NOTICE:20905-2018:TEXT:EN:HTML,Ayuntamiento de Barcelona,Barcelona,08002,3,General public\services,S,79530000.0,1095989.74,,ES511
19779,201820916,ted.europa.eu/udl?uri=TED:NOTICE:20916-2018:TEXT:EN:HTML,Instituto Municipal de Informática de Barcelona,Barcelona,08018,R,General public\services,S,72267100.0,4402752.54,,ES
19781,201820918,ted.europa.eu/udl?uri=TED:NOTICE:20918-2018:TEXT:EN:HTML,Junta de Gobierno de la Diputación Provincial de Lugo,Lugo,27001,3,General public\services,S,63726600.0,586776.86,,ES112
19788,201820924,ted.europa.eu/udl?uri=TED:NOTICE:20924-2018:TEXT:EN:HTML,Rectorado de la Universidad de Salamanca,Salamanca,37008,8,Education,S,66510000.0,446625.0,,ES415
20156,201821892,ted.europa.eu/udl?uri=TED:NOTICE:21892-2018:TEXT:EN:HTML,Ayuntamiento de Rivas-Vaciamadrid,Rivas-Vaciamarid,28522,3,General public\services,U,50232000.0,785660.67,5.0,ES30
20157,201821893,ted.europa.eu/udl?uri=TED:NOTICE:21893-2018:TEXT:EN:HTML,Ayuntamiento de Rivas-Vaciamadrid,Rivas-Vaciamarid,28522,3,General public\services,U,45314000.0,261157.03,5.0,ES30
20161,201821897,ted.europa.eu/udl?uri=TED:NOTICE:21897-2018:TEXT:EN:HTML,Servicio Navarro de Salud-Osasunbidea,Pamplona,31002,3,Health,U,33111620.0,,,
20173,201821955,ted.europa.eu/udl?uri=TED:NOTICE:21955-2018:TEXT:EN:HTML,Ayuntamiento de Onda,Onda,12200,3,General public\services,S,98341120.0,477818.16,,ES522
20176,201821958,ted.europa.eu/udl?uri=TED:NOTICE:21958-2018:TEXT:EN:HTML,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía S.A.,Málaga,29008,8,Other,S,79710000.0,1191764.2,20.0,ES61
20179,201821961,ted.europa.eu/udl?uri=TED:NOTICE:21961-2018:TEXT:EN:HTML,Ayuntamiento de Guareña (Badajoz),Guareña,06470,3,General public\services,S,85311000.0,,60.0,ES431
20180,201821962,ted.europa.eu/udl?uri=TED:NOTICE:21962-2018:TEXT:EN:HTML,"Sociedade Galega do Medio Ambiente, S. A.",Cerceda,15187,3,Environment,S,79993100.0,,36.0,ES11
20183,201821965,ted.europa.eu/udl?uri=TED:NOTICE:21965-2018:TEXT:EN:HTML,Osakidetza - OSI Araba (Gestión Económico-Financiera),Vitoria-Gasteiz,01008,8,Health,S,50000000.0,572000.0,24.0,ES211
20185,201821967,ted.europa.eu/udl?uri=TED:NOTICE:21967-2018:TEXT:EN:HTML,Empresa Pública para la Gestión del Turismo y del Deporte de Andalucía S.A.,Málaga,29008,8,Other,S,63500000.0,200000.0,12.0,
20188,201821970,ted.europa.eu/udl?uri=TED:NOTICE:21970-2018:TEXT:EN:HTML,"Fundación ENAIRE, F. S. P.",Madrid,28006,N,"General public\services,Recreation, culture and religion",S,71000000.0,,,ES3
20196,201822058,ted.europa.eu/udl?uri=TED:NOTICE:22058-2018:TEXT:EN:HTML,"Soler i Sauret, S.A.",Sant Feliu de Llobregat,08980,4,"Urban railway, tramway, trolleybus or bus services",U,34121400.0,1549435.0,,
21156,201822574,ted.europa.eu/udl?uri=TED:NOTICE:22574-2018:TEXT:EN:HTML,Organización Sanitaria Integrada Ezkerraldea-Enkarterri-Cruces. Osakidetza-Servicio Vasco de Salud,Barakaldo,48903,3,Health,U,33140000.0,536856.85,,ES213
21543,201822625,ted.europa.eu/udl?uri=TED:NOTICE:22625-2018:TEXT:EN:HTML,Secretaría General de la Agencia Estatal Consejo Superior de Investigaciones Científicas M.P.,Madrid,28006,1,General public\services,U,38515000.0,326637.89,,ES300
21628,201822667,ted.europa.eu/udl?uri=TED:NOTICE:22667-2018:TEXT:EN:HTML,Barcelona Institute of Technology for the Habitat,Barcelona,ES51,8,Other,U,79930000.0,289256.2,,ES511
21629,201822668,ted.europa.eu/udl?uri=TED:NOTICE:22668-2018:TEXT:EN:HTML,Dirección General de Patrimonio y Contratación-Consejería de Hacienda Gobierno de Canarias,Las Palmas de Gran Canaria,35003,3,Other,U,34110000.0,,,ES705
21680,201823075,ted.europa.eu/udl?uri=TED:NOTICE:23075-2018:TEXT:EN:HTML,Ayuntamiento de Barcelona,Barcelona,08014,3,General public\services,S,98000000.0,1834607.32,,ES511
21729,201823103,ted.europa.eu/udl?uri=TED:NOTICE:23103-2018:TEXT:EN:HTML,Subdirección General de Servicios Penitenciarios,Madrid,28014,1,General public\services,S,50700000.0,460136.0,,ES
21735,201823107,ted.europa.eu/udl?uri=TED:NOTICE:23107-2018:TEXT:EN:HTML,Axencia para a Modernización Tecnolóxica de Galicia. Xunta de Galicia,Santiago de Compostela,15781,3,General public\services,S,72611000.0,770000.0,,ES11
21747,201823116,ted.europa.eu/udl?uri=TED:NOTICE:23116-2018:TEXT:EN:HTML,Xerencia de Xestión Integrada de Ferrol,Ferrol,15405,R,Health,S,90911200.0,3981250.0,,ES111
21818,201823153,ted.europa.eu/udl?uri=TED:NOTICE:23153-2018:TEXT:EN:HTML,Junta de Gobierno del Ayuntamiento de Almussafes,Almussafes,46440,3,General public\services,S,79212400.0,396000.0,,ES523
21820,201823155,ted.europa.eu/udl?uri=TED:NOTICE:23155-2018:TEXT:EN:HTML,Servicio Gallego de Salud,Santiago de Compostela,15703,R,Health,S,85145000.0,6247567.56,,ES11
21828,201823163,ted.europa.eu/udl?uri=TED:NOTICE:23163-2018:TEXT:EN:HTML,The European Joint Undertaking for ITER and the development of Fusion Energy (&quot;Fusion for Energy&quot;),Barcelona,08019,8,Other,S,79100000.0,200000.0,,ES511
21836,201823168,ted.europa.eu/udl?uri=TED:NOTICE:23168-2018:TEXT:EN:HTML,Ayuntamiento de Miengo,Miengo,39310,R,Other,S,90513000.0,818181.82,,ES130
21845,201823175,ted.europa.eu/udl?uri=TED:NOTICE:23175-2018:TEXT:EN:HTML,"Consejería de Educación, Formación y Empleo",Logroño,26071,3,General public\services,S,90919000.0,396800.0,,ES230
21907,201823224,ted.europa.eu/udl?uri=TED:NOTICE:23224-2018:TEXT:EN:HTML,Infraestructures de la Generalitat de Catalunya S.A.U.,Barcelona,08017,R,General public\services,S,71311000.0,363000.0,,ES511
22065,201823297,ted.europa.eu/udl?uri=TED:NOTICE:23297-2018:TEXT:EN:HTML,Gerencia de Atención Especializada Área II – Hospital de Laredo,Santander,39770,3,Health,S,50420000.0,2597368.4,,ES130
22139,201823324,ted.europa.eu/udl?uri=TED:NOTICE:23324-2018:TEXT:EN:HTML,Ayuntamiento de Miengo,Miengo,39310,R,Other,S,90610000.0,816268.0,,ES130
22177,201823905,ted.europa.eu/udl?uri=TED:NOTICE:23905-2018:TEXT:EN:HTML,"Junta de Contratación del Ministerio de Agricultura, Alimentación y Medio Ambiente",Madrid,28071,1,Environment,S,79710000.0,1601017.99,,ES300
22178,201823910,ted.europa.eu/udl?uri=TED:NOTICE:23910-2018:TEXT:EN:HTML,Dirección General de Recursos Humanos y Económicos de la Consellería de Sanidad y Salud Pública,Valencia,46010,3,Health,S,85149000.0,32374100.0,,ES523
22192,201823924,ted.europa.eu/udl?uri=TED:NOTICE:23924-2018:TEXT:EN:HTML,Dirección Económica de la Fundación Palau de Les Arts Reina Sofía,Valencia,46013,8,Education,S,79710000.0,3238695.0,,ES523
22295,201824042,ted.europa.eu/udl?uri=TED:NOTICE:24042-2018:TEXT:EN:HTML,Renfe Viajeros Sociedad Mercantil Estatal S.A - Gerencia de Área de Control de Gestión y Compras,Madrid,28007,4,Railway services,S,50340000.0,530000.0,,ES300
22296,201824043,ted.europa.eu/udl?uri=TED:NOTICE:24043-2018:TEXT:EN:HTML,Autoridad Portuaria de Bilbao,Santurtzi,48980,4,Port-related activities,S,90911200.0,4320000.0,,ES213
22373,201824166,ted.europa.eu/udl?uri=TED:NOTICE:24166-2018:TEXT:EN:HTML,"Empresa Municipal de la Vivienda y Suelo de Madrid, S.A.",Madrid,28012,8,Housing and community amenities,W,45210000.0,8436392.2,21.0,
22377,201824225,ted.europa.eu/udl?uri=TED:NOTICE:24225-2018:TEXT:EN:HTML,Excmo. Ayuntamiento de Huelva,Huelva,21003,3,General public\services,U,9132000.0,343801.66,24.0,ES615
22389,201824237,ted.europa.eu/udl?uri=TED:NOTICE:24237-2018:TEXT:EN:HTML,Servicio Madrileño de la Salud. Hospital Universitario Ramón y Cajal,Madrid,28034,6,Health,U,33140000.0,272905.87,6.0,ES300
22392,201824239,ted.europa.eu/udl?uri=TED:NOTICE:24239-2018:TEXT:EN:HTML,Consorci Sanitari Integral,Sant Joan Despí,08970,6,"Health,Other",U,33140000.0,391296.0,,
22409,201824362,ted.europa.eu/udl?uri=TED:NOTICE:24362-2018:TEXT:EN:HTML,"Gestión Recaudatoria de Canarias, S.A.",Las Palmas de Gran Canaria,35007,8,Other,S,80510000.0,,,
22415,201824367,ted.europa.eu/udl?uri=TED:NOTICE:24367-2018:TEXT:EN:HTML,"Foment de Ciutat, S.A.",Barcelona,08001,8,Housing and community amenities,S,71210000.0,2417878.98,20.0,ES511
22416,201824368,ted.europa.eu/udl?uri=TED:NOTICE:24368-2018:TEXT:EN:HTML,Ayuntamiento de Villena,Villena,03400,3,General public\services,S,71400000.0,335000.0,24.0,
22417,201824369,ted.europa.eu/udl?uri=TED:NOTICE:24369-2018:TEXT:EN:HTML,Museo Nacional del Prado,Madrid,28014,6,"Recreation, culture and religion",S,79341400.0,1576859.4,12.0,ES3
22419,201824371,ted.europa.eu/udl?uri=TED:NOTICE:24371-2018:TEXT:EN:HTML,"Cámara Oficial de Comercio, Industria, Servicios y Navegación de Barcelona",Barcelona,08006,6,Other,S,98340000.0,730000.0,,
22422,201824474,ted.europa.eu/udl?uri=TED:NOTICE:24474-2018:TEXT:EN:HTML,"Empresa Metropolitana de Abastecimiento y Saneamiento de Aguas de Sevilla, S.A. (EMASESA)",Sevilla,41003,4,Water,W,45232440.0,6196818.69,8.0,ES618
22423,201824482,ted.europa.eu/udl?uri=TED:NOTICE:24482-2018:TEXT:EN:HTML,"Empresa Municipal de Transportes de Madrid, S. A.",Madrid,28007,4,"Urban railway, tramway, trolleybus or bus services",U,48200000.0,1179564.02,,ES
22465,201824589,ted.europa.eu/udl?uri=TED:NOTICE:24589-2018:TEXT:EN:HTML,Oficina de Propiedad Intelectual de la Unión Europea,Alicante,03008,5,General public\services,W,45312100.0,375000.0,,ES521
22466,201824590,ted.europa.eu/udl?uri=TED:NOTICE:24590-2018:TEXT:EN:HTML,European Union Intellectual Property Office,Alicante,03008,5,General public\services,S,72200000.0,16000000.0,,ES521
22714,201825023,ted.europa.eu/udl?uri=TED:NOTICE:25023-2018:TEXT:EN:HTML,Diputación de Barcelona / Organismo de Gestón Tributaria,Barcelona,08036,3,General public\services,U,48800000.0,427626.61,,ES511
23257,201825110,ted.europa.eu/udl?uri=TED:NOTICE:25110-2018:TEXT:EN:HTML,Organización Sanitaria Integrada Ezkerraldea Enkarterri Cruces - Osakidetza-Servicio Vasco de Salud,Barakaldo,48903,3,Health,U,22000000.0,281537.25,,ES213
23537,201825188,ted.europa.eu/udl?uri=TED:NOTICE:25188-2018:TEXT:EN:HTML,Servicio Gallego de Salud. Dirección de Recursos Económicos,Santiago de Compostela,15703,6,Health,U,39500000.0,4328357.35,,ES111
23630,201825199,ted.europa.eu/udl?uri=TED:NOTICE:25199-2018:TEXT:EN:HTML,Concejalía Delegada del Área de Medio Ambiente y Sostenibilidad del Ayuntamiento de Valladolid,Valladolid,47001,3,Environment,U,34928400.0,429752.06,,ES418
23649,201825207,ted.europa.eu/udl?uri=TED:NOTICE:25207-2018:TEXT:EN:HTML,Consorci Sanitari de l&apos;Anoia,Igualada,08700,6,Health,U,33690000.0,293440.73,9.01,ES511
23748,201825219,ted.europa.eu/udl?uri=TED:NOTICE:25219-2018:TEXT:EN:HTML,Junta de Contratación del Ministerio de Justicia,Madrid,28015,1,General public\services,U,33900000.0,141485.0,,ES300
24115,201825892,ted.europa.eu/udl?uri=TED:NOTICE:25892-2018:TEXT:EN:HTML,Diputación de Barcelona,Barcelona,08036,3,General public\services,S,71240000.0,271900.83,,ES511
24130,201825897,ted.europa.eu/udl?uri=TED:NOTICE:25897-2018:TEXT:EN:HTML,Junta de Contratación del Ministerio de Justicia,Madrid,28015,1,General public\services,S,79540000.0,3946547.0,,ES300
24149,201825908,ted.europa.eu/udl?uri=TED:NOTICE:25908-2018:TEXT:EN:HTML,Centro de Estudios y Experimentación de Obras Públicas (CEDEX),Madrid,28014,1,General public\services,S,73210000.0,177000.0,,ES300
24150,201825909,ted.europa.eu/udl?uri=TED:NOTICE:25909-2018:TEXT:EN:HTML,"Comunidad de Madrid, Consejería de Medio Ambiente, Administración Local y Ordenación del Territorio",Madrid,28014,3,Environment,S,90700000.0,280451.04,,ES3
24151,201825910,ted.europa.eu/udl?uri=TED:NOTICE:25910-2018:TEXT:EN:HTML,Alcaldía del Ayuntamiento de Oleiros,Oleiros,15173,3,General public\services,S,98341130.0,794258.05,,ES111
24287,201825976,ted.europa.eu/udl?uri=TED:NOTICE:25976-2018:TEXT:EN:HTML,Servicio Murciano de Salud,Espinardo (Murcia),30100,3,Health,S,48810000.0,594738.0,,ES620
24338,201825990,ted.europa.eu/udl?uri=TED:NOTICE:25990-2018:TEXT:EN:HTML,Subdelegación del Gobierno en Castellón,Castellón,12003,1,General public\services,S,90911200.0,156000.0,,ES522
